date,indicator,excess_value,q_grade,q_label,g_grade,g_label,tradeable,fwd_20d_max_return,fwd_20d_min_return,fwd_20d_median_return,fwd_20d_peak_day,fwd_20d_trough_day,fwd_20d_median_day,fwd_20d_retention,long_upside,long_adverse,short_upside,short_adverse
20250516,excess_5d,,,,,,1,1.5273,-11.0376,-6.6289,3.0,11.0,20.0,-2.0,1.5273,-11.0376,11.0376,-1.5273
20250516,excess_10d,,,,,,1,1.5273,-11.0376,-6.6289,3.0,11.0,20.0,-2.0,1.5273,-11.0376,11.0376,-1.5273
20250516,daily_excess,0.0,3.0,中性,,,1,1.5273,-11.0376,-6.6289,3.0,11.0,20.0,-2.0,1.5273,-11.0376,11.0376,-1.5273
20250519,excess_5d,,,,,,1,2.268,-10.3886,-6.0904,2.0,10.0,19.0,-2.0,2.268,-10.3886,10.3886,-2.268
20250519,excess_10d,,,,,,1,2.268,-10.3886,-6.0904,2.0,10.0,19.0,-2.0,2.268,-10.3886,10.3886,-2.268
20250519,daily_excess,-1.4916,2.0,偏冷,2.0,小降,1,2.268,-10.3886,-6.0904,2.0,10.0,19.0,-2.0,2.268,-10.3886,10.3886,-2.268
20250520,excess_5d,,,,,,1,2.4142,-10.2605,-6.1865,1.0,9.0,13.0,-2.0,2.4142,-10.2605,10.2605,-2.4142
20250520,excess_10d,,,,,,1,2.4142,-10.2605,-6.1865,1.0,9.0,13.0,-2.0,2.4142,-10.2605,10.2605,-2.4142
20250520,daily_excess,0.1268,3.0,中性,4.0,小升,1,2.4142,-10.2605,-6.1865,1.0,9.0,13.0,-2.0,2.4142,-10.2605,10.2605,-2.4142
20250521,excess_5d,,,,,,1,0.0779,-12.0212,-8.323,1.0,8.0,12.0,,0.0779,-12.0212,12.0212,-0.0779
20250521,excess_10d,,,,,,1,0.0779,-12.0212,-8.323,1.0,8.0,12.0,,0.0779,-12.0212,12.0212,-0.0779
20250521,daily_excess,2.882,5.0,极热,4.0,小升,1,0.0779,-12.0212,-8.323,1.0,8.0,12.0,,0.0779,-12.0212,12.0212,-0.0779
20250522,excess_5d,,,,,,1,4.1551,-9.239,-4.2366,13.0,20.0,14.0,-1.0196,4.1551,-9.239,9.239,-4.1551
20250522,excess_10d,,,,,,1,4.1551,-9.239,-4.2366,13.0,20.0,14.0,-1.0196,4.1551,-9.239,9.239,-4.1551
20250522,daily_excess,-3.3507,1.0,极冷,1.0,大降,1,4.1551,-9.239,-4.2366,13.0,20.0,14.0,-1.0196,4.1551,-9.239,9.239,-4.1551
20250523,excess_5d,-2.8888,2.0,偏冷,,,1,6.5333,-8.05,-2.1,12.0,20.0,16.0,-0.3214,6.5333,-8.05,8.05,-6.5333
20250523,excess_10d,,,,,,1,6.5333,-8.05,-2.1,12.0,20.0,16.0,-0.3214,6.5333,-8.05,8.05,-6.5333
20250523,daily_excess,-1.0553,2.0,偏冷,4.0,小升,1,6.5333,-8.05,-2.1,12.0,20.0,16.0,-0.3214,6.5333,-8.05,8.05,-6.5333
20250526,excess_5d,-3.8039,1.0,极冷,3.0,稳定,1,8.0277,-6.7602,-0.845,11.0,19.0,15.0,-0.1053,8.0277,-6.7602,6.7602,-8.0277
20250526,excess_10d,,,,,,1,8.0277,-6.7602,-0.845,11.0,19.0,15.0,-0.1053,8.0277,-6.7602,6.7602,-8.0277
20250526,daily_excess,-2.4067,1.0,极冷,2.0,小降,1,8.0277,-6.7602,-0.845,11.0,19.0,15.0,-0.1053,8.0277,-6.7602,6.7602,-8.0277
20250527,excess_5d,-5.5934,1.0,极冷,2.0,小降,1,10.2639,-4.8301,1.2075,10.0,18.0,14.0,0.1176,10.2639,-4.8301,4.8301,-10.2639
20250527,excess_10d,,,,,,1,10.2639,-4.8301,1.2075,10.0,18.0,14.0,0.1176,10.2639,-4.8301,4.8301,-10.2639
20250527,daily_excess,-1.6627,2.0,偏冷,3.0,稳定,1,10.2639,-4.8301,1.2075,10.0,18.0,14.0,0.1176,10.2639,-4.8301,4.8301,-10.2639
20250528,excess_5d,-6.6791,1.0,极冷,2.0,小降,1,9.321,-5.6439,0.3421,9.0,17.0,13.0,0.0367,9.321,-5.6439,5.6439,-9.321
20250528,excess_10d,,,,,,1,9.321,-5.6439,0.3421,9.0,17.0,13.0,0.0367,9.321,-5.6439,5.6439,-9.321
20250528,daily_excess,1.7963,4.0,偏热,5.0,大升,1,9.321,-5.6439,0.3421,9.0,17.0,13.0,0.0367,9.321,-5.6439,5.6439,-9.321
20250529,excess_5d,-2.4759,2.0,偏冷,5.0,大升,1,6.6756,-7.9272,-2.0861,8.0,16.0,12.0,-0.3125,6.6756,-7.9272,7.9272,-6.6756
20250529,excess_10d,,,,,,1,6.6756,-7.9272,-2.0861,8.0,16.0,12.0,-0.3125,6.6756,-7.9272,7.9272,-6.6756
20250529,daily_excess,0.8525,4.0,偏热,2.0,小降,1,6.6756,-7.9272,-2.0861,8.0,16.0,12.0,-0.3125,6.6756,-7.9272,7.9272,-6.6756
20250530,excess_5d,-3.5167,2.0,偏冷,3.0,稳定,1,8.726,-6.1575,-0.2041,7.0,15.0,11.0,-0.0234,8.726,-6.1575,6.1575,-8.726
20250530,excess_10d,-6.4055,1.0,极冷,,,1,8.726,-6.1575,-0.2041,7.0,15.0,11.0,-0.0234,8.726,-6.1575,6.1575,-8.726
20250530,daily_excess,-2.0961,2.0,偏冷,2.0,小降,1,8.726,-6.1575,-0.2041,7.0,15.0,11.0,-0.0234,8.726,-6.1575,6.1575,-8.726
20250603,excess_5d,-4.9058,1.0,极冷,2.0,小降,1,11.1072,-4.1022,1.9816,6.0,14.0,10.0,0.1784,11.1072,-4.1022,4.1022,-11.1072
20250603,excess_10d,-8.7097,1.0,极冷,2.0,小降,1,11.1072,-4.1022,1.9816,6.0,14.0,10.0,0.1784,11.1072,-4.1022,4.1022,-11.1072
20250603,daily_excess,-3.7958,1.0,极冷,2.0,小降,1,11.1072,-4.1022,1.9816,6.0,14.0,10.0,0.1784,11.1072,-4.1022,4.1022,-11.1072
20250604,excess_5d,-2.8882,2.0,偏冷,4.0,小升,1,10.6074,-4.5337,1.5228,5.0,13.0,9.0,0.1436,10.6074,-4.5337,4.5337,-10.6074
20250604,excess_10d,-8.4816,1.0,极冷,3.0,稳定,1,10.6074,-4.5337,1.5228,5.0,13.0,9.0,0.1436,10.6074,-4.5337,4.5337,-10.6074
20250604,daily_excess,0.3549,3.0,中性,5.0,大升,1,10.6074,-4.5337,1.5228,5.0,13.0,9.0,0.1436,10.6074,-4.5337,4.5337,-10.6074
20250605,excess_5d,2.914,4.0,偏热,5.0,大升,1,5.6664,-11.9393,-6.3528,20.0,12.0,8.0,-1.1211,5.6664,-11.9393,11.9393,-5.6664
20250605,excess_10d,-3.7651,2.0,偏冷,5.0,大升,1,5.6664,-11.9393,-6.3528,20.0,12.0,8.0,-1.1211,5.6664,-11.9393,11.9393,-5.6664
20250605,daily_excess,7.5985,5.0,极热,5.0,大升,1,5.6664,-11.9393,-6.3528,20.0,12.0,8.0,-1.1211,5.6664,-11.9393,11.9393,-5.6664
20250606,excess_5d,-2.4164,2.0,偏冷,1.0,大降,1,10.0399,-8.2945,-2.4767,19.0,11.0,7.0,-0.2467,10.0399,-8.2945,8.2945,-10.0399
20250606,excess_10d,-4.8923,2.0,偏冷,2.0,小降,1,10.0399,-8.2945,-2.4767,19.0,11.0,7.0,-0.2467,10.0399,-8.2945,8.2945,-10.0399
20250606,daily_excess,-4.4779,1.0,极冷,1.0,大降,1,10.0399,-8.2945,-2.4767,19.0,11.0,7.0,-0.2467,10.0399,-8.2945,8.2945,-10.0399
20250609,excess_5d,-2.2062,2.0,偏冷,3.0,稳定,1,12.2795,-6.4281,-0.4919,18.0,10.0,6.0,-0.0401,12.2795,-6.4281,6.4281,-12.2795
20250609,excess_10d,-5.7228,1.0,极冷,3.0,稳定,1,12.2795,-6.4281,-0.4919,18.0,10.0,6.0,-0.0401,12.2795,-6.4281,6.4281,-12.2795
20250609,daily_excess,-1.8858,2.0,偏冷,4.0,小升,1,12.2795,-6.4281,-0.4919,18.0,10.0,6.0,-0.0401,12.2795,-6.4281,6.4281,-12.2795
20250610,excess_5d,4.5003,4.0,偏热,5.0,大升,1,11.5417,-7.043,-1.1457,17.0,9.0,5.0,-0.0993,11.5417,-7.043,7.043,-11.5417
20250610,excess_10d,-0.4056,3.0,中性,5.0,大升,1,11.5417,-7.043,-1.1457,17.0,9.0,5.0,-0.0993,11.5417,-7.043,7.043,-11.5417
20250610,daily_excess,2.9106,5.0,极热,5.0,大升,1,11.5417,-7.043,-1.1457,17.0,9.0,5.0,-0.0993,11.5417,-7.043,7.043,-11.5417
20250611,excess_5d,8.2992,5.0,极热,5.0,大升,1,7.485,-10.4238,-4.741,16.0,8.0,4.0,-0.6334,7.485,-10.4238,10.4238,-7.485
20250611,excess_10d,5.411,4.0,偏热,5.0,大升,1,7.485,-10.4238,-4.741,16.0,8.0,4.0,-0.6334,7.485,-10.4238,10.4238,-7.485
20250611,daily_excess,4.1539,5.0,极热,4.0,小升,1,7.485,-10.4238,-4.741,16.0,8.0,4.0,-0.6334,7.485,-10.4238,10.4238,-7.485
20250612,excess_5d,-2.6954,2.0,偏冷,1.0,大降,1,12.6809,-6.0936,-0.1362,15.0,7.0,3.0,-0.0107,12.6809,-6.0936,6.0936,-12.6809
20250612,excess_10d,0.2186,3.0,中性,1.0,大降,1,12.6809,-6.0936,-0.1362,15.0,7.0,3.0,-0.0107,12.6809,-6.0936,6.0936,-12.6809
20250612,daily_excess,-3.3962,1.0,极冷,1.0,大降,1,12.6809,-6.0936,-0.1362,15.0,7.0,3.0,-0.0107,12.6809,-6.0936,6.0936,-12.6809
20250613,excess_5d,1.0897,3.0,中性,5.0,大升,1,12.95,-5.8693,0.273,14.0,6.0,2.0,0.0211,12.95,-5.8693,5.8693,-12.95
20250613,excess_10d,-1.3267,2.0,偏冷,2.0,小降,1,12.95,-5.8693,0.273,14.0,6.0,2.0,0.0211,12.95,-5.8693,5.8693,-12.95
20250613,daily_excess,-0.6928,3.0,中性,4.0,小升,1,12.95,-5.8693,0.273,14.0,6.0,2.0,0.0211,12.95,-5.8693,5.8693,-12.95
20250616,excess_5d,3.9155,4.0,偏热,4.0,小升,1,11.73,-6.8861,-0.8101,13.0,5.0,1.0,-0.0691,11.73,-6.8861,6.8861,-11.73
20250616,excess_10d,1.7093,3.0,中性,4.0,小升,1,11.73,-6.8861,-0.8101,13.0,5.0,1.0,-0.0691,11.73,-6.8861,6.8861,-11.73
20250616,daily_excess,0.94,4.0,偏热,4.0,小升,1,11.73,-6.8861,-0.8101,13.0,5.0,1.0,-0.0691,11.73,-6.8861,6.8861,-11.73
20250617,excess_5d,-0.1799,3.0,中性,1.0,大降,1,12.7192,-6.0616,0.2809,12.0,4.0,8.0,0.0221,12.7192,-6.0616,6.0616,-12.7192
20250617,excess_10d,4.3203,4.0,偏热,4.0,小升,1,12.7192,-6.0616,0.2809,12.0,4.0,8.0,0.0221,12.7192,-6.0616,6.0616,-12.7192
