indicator,q_grade,q_label,g_grade,g_label,n_triggers,long_n,long_upsideMean,long_upsideMedian,long_adverseMean,long_upsideAdverseRatio,long_std,long_p25,long_p75,long_skew,long_maxUpside,long_maxAdverse,short_n,short_upsideMean,short_upsideMedian,short_adverseMean,short_upsideAdverseRatio,short_std,short_p25,short_p75,short_skew,short_maxUpside,short_maxAdverse,long_retMean,long_retMedian,long_winRate,long_profitFactor,long_var95,long_retentionMean,long_retentionMedian,short_retMean,short_retMedian,short_winRate,short_profitFactor,short_var95,short_retentionMean,short_retentionMedian,long_peak_day_median,long_peak_day_mean,long_median_day_mean,long_median_day_median,long_favorable_first_rate,short_peak_day_median,short_peak_day_mean,short_median_day_mean,short_median_day_median,short_favorable_first_rate,space_bias,normal_performance,short_competitiveness,path_tag,confidence,summary
excess_5d,1,极冷,1,大降,18,18,26.0425,19.2236,-7.1683,3.633,18.933,11.191,38.1606,0.5477,57.7237,-18.4744,18,7.1683,6.431,-26.0425,0.2753,5.2555,3.6571,8.5945,0.9399,18.4744,-57.7237,6.1128,5.2861,0.6667,4.9004,-9.1147,-0.0923,0.2356,-6.1128,-5.2861,0.3333,0.2041,-22.6848,-2.1572,-1.0642,12.5,11.9,14.2,14.0,0.2222,3.5,6.6,14.2,14.0,0.7778,偏多,正向,0.2753,先不利,中,做多空间优势明显，中位数价格收益为正，但常先浮亏再反转，执行压力大
excess_5d,1,极冷,2,小降,14,14,20.7175,16.1279,-5.8357,3.5501,17.7726,10.4747,19.8378,1.6105,66.7895,-17.6603,14,5.8357,4.1918,-20.7175,0.2817,5.5707,1.0992,8.0303,1.0951,17.6603,-66.7895,5.3445,3.0522,0.7857,4.9951,-7.626,-0.0561,0.224,-5.3445,-3.0522,0.2143,0.2002,-25.0642,-6.8847,-0.723,9.5,9.6,13.3,13.5,0.4286,5.5,8.6,13.3,13.5,0.5714,偏多,正向,0.2817,路径拉锯,中,做多空间优势明显，中位数价格收益为正，路径拉锯
excess_5d,1,极冷,3,稳定,6,6,13.8335,13.9284,-5.3091,2.6056,7.7773,9.0918,17.4748,0.2395,25.5521,-14.857,6,5.3091,4.4451,-13.8335,0.3838,5.4563,1.2331,6.7757,1.1856,14.857,-25.5521,2.9288,3.8967,0.6667,3.2105,-5.5398,-0.1256,0.2399,-2.9288,-3.8967,0.3333,0.3115,-9.1399,-5.6459,-1.6091,12.0,12.0,16.0,16.5,0.1667,4.5,6.0,16.0,16.5,0.8333,偏多,正向,0.3838,先不利,低,做多空间优势明显，中位数价格收益为正，但常先浮亏再反转，执行压力大
excess_5d,1,极冷,4,小升,4,4,16.4608,12.3046,-8.8799,1.8537,17.33,7.9614,20.8039,1.3082,40.9331,-18.3398,4,8.8799,8.1696,-16.4608,0.5395,7.5685,4.1688,12.8806,0.447,18.3398,-40.9331,3.8565,0.7344,0.5,2.1458,-9.536,0.2139,0.2976,-3.8565,-0.7344,0.5,0.466,-21.6198,-7.3334,-0.2741,11.0,9.0,12.0,12.0,0.5,5.5,7.2,12.0,12.0,0.5,样本不足,-,,-,无效,仅4个样本，不足以生成画像
excess_5d,1,极冷,5,大升,7,7,24.5227,11.9661,-7.3416,3.3403,21.764,10.7575,34.2385,1.2579,64.6362,-14.4615,7,7.3416,7.8531,-24.5227,0.2994,5.6839,3.9162,10.9286,-0.1184,14.4615,-64.6362,4.7934,0.5367,0.7143,4.491,-5.4829,-0.0938,0.0449,-4.7934,-0.5367,0.2857,0.2227,-21.6939,0.5583,-0.0353,11.0,9.9,13.9,14.0,0.4286,2.0,8.3,13.9,14.0,0.5714,偏多,正向,0.2994,路径拉锯,低,做多空间优势明显，中位数价格收益为正，路径拉锯
excess_5d,2,偏冷,1,大降,11,11,15.1107,10.3061,-8.7802,1.721,15.0225,7.0416,12.5504,1.6978,44.9086,-20.0,11,8.7802,8.4755,-15.1107,0.5811,5.412,6.0494,11.1309,0.274,20.0,-44.9086,0.7682,-0.1362,0.3636,1.278,-9.9446,-0.3228,-0.0107,-0.7682,0.1362,0.6364,0.7825,-17.6073,1.3323,0.2986,15.0,12.2,10.5,10.0,0.4545,12.0,11.0,10.5,10.0,0.5455,多空拉扯,中性,0.5811,路径拉锯,中,多空空间接近，不宜单边操作
excess_5d,2,偏冷,2,小降,11,11,17.1563,16.0545,-5.7419,2.9879,8.6832,13.4035,18.2191,0.9941,35.419,-12.7652,11,5.7419,4.3885,-17.1563,0.3347,4.4394,2.3179,9.2345,0.4211,12.7652,-35.419,4.2736,6.9381,0.8182,5.9656,-4.7336,0.1333,0.2882,-4.2736,-6.9381,0.1818,0.1676,-9.5891,-4.1726,-0.946,13.0,11.7,9.7,10.0,0.2727,6.0,7.9,9.7,10.0,0.6364,偏多,正向,0.3347,先不利,中,做多空间优势明显，中位数价格收益为正，但常先浮亏再反转，执行压力大
excess_5d,2,偏冷,3,稳定,13,13,16.7848,12.2795,-8.3698,2.0054,12.6238,6.6969,28.972,0.5393,36.8935,-15.3343,13,8.3698,6.4281,-16.7848,0.4987,4.7653,4.7619,12.8448,0.4248,15.3343,-36.8935,1.8272,1.0968,0.5385,1.9106,-7.2394,-0.3509,0.0665,-1.8272,-1.0968,0.4615,0.5234,-12.0588,-0.7182,-0.1694,18.0,14.9,11.2,11.0,0.1538,9.0,8.5,11.2,11.0,0.8462,多空拉扯,正向,0.4987,路径拉锯,中,多空空间接近，不宜单边操作
excess_5d,2,偏冷,4,小升,6,6,17.2044,17.2157,-3.9119,4.398,11.285,11.8592,19.7042,0.6256,36.0223,-16.083,6,3.9119,1.8995,-17.2044,0.2274,6.3281,0.1661,4.2514,1.8738,16.083,-36.0223,6.2664,5.6011,0.8333,5.5458,-5.8226,-0.0064,0.328,-6.2664,-5.6011,0.1667,0.1803,-19.4158,-19.1942,-0.9857,9.5,8.7,13.3,14.0,0.5,6.5,7.7,13.3,14.0,0.5,偏多,正向,0.2274,路径拉锯,低,做多空间优势明显，中位数价格收益为正，路径拉锯
excess_5d,2,偏冷,5,大升,5,5,18.2881,16.1067,-6.1289,2.9839,9.9367,12.5659,24.0362,0.44,32.0561,-10.7607,5,6.1289,4.6761,-18.2881,0.3351,3.1299,3.6561,7.9272,0.9687,10.7607,-32.0561,3.4847,3.8056,0.8,9.3523,-1.0711,0.1309,0.1856,-3.4847,-3.8056,0.2,0.1069,-7.3613,-0.6705,-0.8176,9.0,12.0,11.4,12.0,0.2,12.0,10.0,11.4,12.0,0.8,偏多,正向,0.3351,先不利,低,做多空间优势明显，中位数价格收益为正，但常先浮亏再反转，执行压力大
